epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10568.7,1.27049,0.63284,0.97219,0.87168,0.74535,0.80827,0.48823,1.33562,0.63527,1.01439,0.007921,0.007921,0.007921
44,10799.5,1.26155,0.62535,0.96493,0.84635,0.74114,0.80084,0.48467,1.33508,0.64189,1.01903,0.0078715,0.0078715,0.0078715
45,11030.6,1.25945,0.62471,0.96662,0.87217,0.74917,0.80266,0.48408,1.33912,0.63899,1.0142,0.007822,0.007822,0.007822
46,11261.2,1.26904,0.62769,0.97048,0.84689,0.75832,0.80011,0.4898,1.33327,0.64188,1.01179,0.0077725,0.0077725,0.0077725
47,11496,1.25558,0.62341,0.96378,0.85148,0.75419,0.80018,0.48854,1.33287,0.63726,1.01327,0.007723,0.007723,0.007723
48,11729.8,1.24815,0.61899,0.96133,0.87062,0.74705,0.80785,0.49341,1.33378,0.6258,1.01776,0.0076735,0.0076735,0.0076735
49,11968.4,1.24742,0.61872,0.96355,0.8659,0.75159,0.81091,0.49111,1.33666,0.6331,1.01778,0.007624,0.007624,0.007624
50,12206.3,1.2521,0.61867,0.96435,0.85361,0.76074,0.80848,0.49317,1.33799,0.63326,1.01562,0.0075745,0.0075745,0.0075745
51,12439.8,1.24229,0.61373,0.96229,0.86842,0.75096,0.80812,0.49837,1.33319,0.63116,1.01349,0.007525,0.007525,0.007525
52,12673.4,1.24614,0.61575,0.96489,0.84632,0.75441,0.8049,0.49469,1.32527,0.62239,1.0123,0.0074755,0.0074755,0.0074755
53,12906.6,1.23901,0.61176,0.96278,0.85546,0.75696,0.80941,0.498,1.32401,0.62559,1.01059,0.007426,0.007426,0.007426
54,13140.5,1.23776,0.61201,0.95752,0.8478,0.75806,0.80161,0.49341,1.33035,0.62674,1.01294,0.0073765,0.0073765,0.0073765
55,13423.2,1.23308,0.60763,0.96027,0.84554,0.76403,0.81349,0.50078,1.31535,0.61377,1.00769,0.007327,0.007327,0.007327
56,13656.6,1.22689,0.60865,0.95855,0.87114,0.75932,0.81986,0.50021,1.3092,0.61491,1.0062,0.0072775,0.0072775,0.0072775
57,13888.8,1.22432,0.60497,0.95707,0.86731,0.74338,0.80772,0.49494,1.32629,0.62158,1.01317,0.007228,0.007228,0.007228
58,14121.2,1.22862,0.60739,0.9574,0.85843,0.76385,0.81262,0.4987,1.31849,0.6175,1.00978,0.0071785,0.0071785,0.0071785
59,14353.9,1.22271,0.59927,0.95859,0.84549,0.76968,0.81877,0.50108,1.32154,0.61852,1.01031,0.007129,0.007129,0.007129
60,14588.1,1.2107,0.59327,0.95412,0.85922,0.76152,0.81553,0.49627,1.33008,0.62069,1.01465,0.0070795,0.0070795,0.0070795
61,14822.3,1.22145,0.60252,0.95671,0.85762,0.76154,0.81505,0.49845,1.32736,0.61645,1.01754,0.00703,0.00703,0.00703
62,15055.8,1.20866,0.59509,0.95243,0.8579,0.76197,0.8146,0.50053,1.32283,0.61415,1.01563,0.0069805,0.0069805,0.0069805
63,15289.7,1.21822,0.59854,0.95442,0.86873,0.74835,0.81809,0.50462,1.31629,0.61544,1.01134,0.006931,0.006931,0.006931
64,15521.9,1.2106,0.59613,0.9534,0.84864,0.76745,0.82164,0.50477,1.32904,0.61642,1.01721,0.0068815,0.0068815,0.0068815
65,15753.6,1.20829,0.5929,0.95303,0.86283,0.77079,0.82497,0.50866,1.32191,0.60975,1.0148,0.006832,0.006832,0.006832
66,15984.5,1.20493,0.5901,0.95168,0.8707,0.76352,0.82567,0.5087,1.32577,0.61421,1.01116,0.0067825,0.0067825,0.0067825
67,16244.3,1.20439,0.59088,0.95143,0.87793,0.7682,0.82875,0.51222,1.32208,0.60892,1.00959,0.006733,0.006733,0.006733
68,16477.7,1.20027,0.59056,0.94787,0.87642,0.76456,0.82442,0.50818,1.31982,0.60334,1.00935,0.0066835,0.0066835,0.0066835
69,16709.6,1.20019,0.58653,0.95004,0.88918,0.75131,0.81673,0.5049,1.32015,0.60574,1.00982,0.006634,0.006634,0.006634
70,16943.3,1.19633,0.58526,0.94808,0.8763,0.76299,0.82279,0.51041,1.3162,0.60109,1.00916,0.0065845,0.0065845,0.0065845
71,17174.5,1.19196,0.58344,0.94767,0.87892,0.75935,0.82761,0.51297,1.31524,0.60277,1.00888,0.006535,0.006535,0.006535
72,17408.3,1.19792,0.5842,0.94919,0.87701,0.75961,0.82376,0.50987,1.31516,0.60146,1.01022,0.0064855,0.0064855,0.0064855
73,17641.7,1.19253,0.5844,0.9474,0.88683,0.76047,0.82158,0.50879,1.31171,0.59925,1.00921,0.006436,0.006436,0.006436
74,17874.9,1.1871,0.57875,0.947,0.86473,0.77466,0.82188,0.50906,1.31165,0.59996,1.00831,0.0063865,0.0063865,0.0063865
75,18178.7,1.19139,0.57894,0.94611,0.86367,0.77365,0.82274,0.50891,1.31426,0.60213,1.00961,0.006337,0.006337,0.006337
76,18415.9,1.18591,0.57659,0.94493,0.86466,0.77124,0.82242,0.5097,1.31738,0.59757,1.00984,0.0062875,0.0062875,0.0062875
77,18648.5,1.18029,0.57397,0.94468,0.86897,0.76693,0.8212,0.5084,1.31819,0.59886,1.01071,0.006238,0.006238,0.006238
78,18881,1.18562,0.578,0.94799,0.87618,0.7595,0.82135,0.50907,1.32051,0.59931,1.01233,0.0061885,0.0061885,0.0061885
79,19113.7,1.17889,0.57424,0.94329,0.87567,0.7583,0.82055,0.50881,1.3209,0.59676,1.01287,0.006139,0.006139,0.006139
80,19347.9,1.17702,0.57002,0.94382,0.85479,0.77438,0.82339,0.51073,1.31882,0.59504,1.01261,0.0060895,0.0060895,0.0060895
81,19579.9,1.16552,0.56407,0.942,0.8531,0.77678,0.82027,0.50986,1.31448,0.59403,1.01114,0.00604,0.00604,0.00604
82,19814.5,1.16353,0.56557,0.94221,0.86923,0.77398,0.82383,0.51011,1.31328,0.59298,1.0109,0.0059905,0.0059905,0.0059905
83,20046.6,1.16093,0.56191,0.94011,0.87454,0.77555,0.82895,0.51164,1.31307,0.5898,1.0105,0.005941,0.005941,0.005941
84,20281.1,1.16175,0.56257,0.942,0.87047,0.77901,0.82878,0.5105,1.31596,0.59198,1.01214,0.0058915,0.0058915,0.0058915
85,20516,1.16548,0.56537,0.94125,0.86728,0.7799,0.82958,0.51221,1.31584,0.5923,1.01267,0.005842,0.005842,0.005842
86,20749.1,1.16366,0.56303,0.94262,0.87627,0.77796,0.83191,0.51241,1.31463,0.59218,1.01115,0.0057925,0.0057925,0.0057925
87,20979.5,1.16088,0.56631,0.93893,0.87883,0.77217,0.83003,0.51329,1.31207,0.59162,1.00975,0.005743,0.005743,0.005743
88,21214.9,1.16073,0.56292,0.93837,0.87689,0.7731,0.83005,0.51544,1.31082,0.59063,1.00884,0.0056935,0.0056935,0.0056935
89,21446.6,1.15104,0.55681,0.93565,0.88703,0.77012,0.82794,0.51546,1.31112,0.58896,1.00936,0.005644,0.005644,0.005644
90,21679,1.15522,0.55926,0.93464,0.88968,0.7713,0.82878,0.51538,1.31202,0.5884,1.0095,0.0055945,0.0055945,0.0055945
91,21909,1.15201,0.55795,0.93569,0.88868,0.77009,0.82856,0.51513,1.31206,0.58831,1.00949,0.005545,0.005545,0.005545
92,22140.8,1.14987,0.55519,0.9344,0.89102,0.76708,0.82822,0.51379,1.31358,0.58947,1.00908,0.0054955,0.0054955,0.0054955
93,22394.3,1.1501,0.55417,0.93482,0.87416,0.77054,0.82847,0.51278,1.31601,0.59058,1.01013,0.005446,0.005446,0.005446
94,22626.1,1.15136,0.55955,0.93526,0.87846,0.77081,0.82914,0.51257,1.31736,0.59119,1.01013,0.0053965,0.0053965,0.0053965
95,22892.1,1.14699,0.55437,0.93304,0.8805,0.77013,0.82908,0.51322,1.31767,0.59179,1.01022,0.005347,0.005347,0.005347
96,23135,1.14848,0.55569,0.93442,0.87885,0.76867,0.82958,0.5129,1.31738,0.59195,1.01051,0.0052975,0.0052975,0.0052975
97,23371.9,1.1402,0.55181,0.93205,0.87724,0.76915,0.8296,0.51317,1.31759,0.59097,1.01042,0.005248,0.005248,0.005248
98,23611,1.13611,0.54828,0.93417,0.87292,0.77191,0.83089,0.51401,1.31656,0.59004,1.00999,0.0051985,0.0051985,0.0051985
99,23842.1,1.14221,0.55258,0.9339,0.8784,0.76882,0.83166,0.51416,1.31663,0.58896,1.01008,0.005149,0.005149,0.005149
100,24080.7,1.14101,0.55091,0.9317,0.88029,0.76722,0.83196,0.51479,1.31533,0.58845,1.00964,0.0050995,0.0050995,0.0050995
101,24329.4,1.13729,0.55119,0.9312,0.88551,0.76598,0.83168,0.51437,1.31459,0.58819,1.00953,0.00505,0.00505,0.00505
102,24560.3,1.13257,0.54632,0.93026,0.88116,0.76532,0.82997,0.51392,1.31471,0.5884,1.00952,0.0050005,0.0050005,0.0050005
103,24793.7,1.12758,0.54605,0.92915,0.8685,0.77213,0.83106,0.51353,1.31451,0.58858,1.00993,0.004951,0.004951,0.004951
104,25024.2,1.12555,0.54188,0.92844,0.85476,0.77401,0.82862,0.51392,1.3145,0.58824,1.01023,0.0049015,0.0049015,0.0049015
