epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20609.3,1.26377,0.62501,0.96497,0.86811,0.7563,0.80172,0.48799,1.33608,0.63432,1.01972,0.0079705,0.0079705,0.0079705
43,20836.2,1.26228,0.62825,0.97089,0.86718,0.75047,0.80024,0.48554,1.34896,0.63133,1.01663,0.007921,0.007921,0.007921
44,21053.3,1.25532,0.61952,0.96346,0.87049,0.74327,0.79977,0.48835,1.33613,0.63118,1.00944,0.0078715,0.0078715,0.0078715
45,21281.1,1.2506,0.61879,0.96454,0.85249,0.75407,0.8027,0.48774,1.34051,0.63407,1.0151,0.007822,0.007822,0.007822
46,21524.8,1.26086,0.621,0.96863,0.86425,0.75077,0.79856,0.49057,1.33867,0.63057,1.01476,0.0077725,0.0077725,0.0077725
47,21746,1.24951,0.61635,0.96307,0.89023,0.74755,0.80812,0.49479,1.34126,0.62754,1.01688,0.007723,0.007723,0.007723
48,21965.1,1.23614,0.61105,0.95985,0.87399,0.76277,0.80817,0.49324,1.34433,0.63097,1.01927,0.0076735,0.0076735,0.0076735
49,22190.9,1.23723,0.61151,0.96288,0.87523,0.75461,0.80359,0.49299,1.34505,0.62899,1.01989,0.007624,0.007624,0.007624
50,22409.6,1.23948,0.61074,0.96253,0.86865,0.75524,0.80732,0.49175,1.34619,0.62851,1.02077,0.0075745,0.0075745,0.0075745
51,22626.8,1.2319,0.60562,0.96066,0.87787,0.75163,0.8051,0.49586,1.34034,0.62414,1.01666,0.007525,0.007525,0.007525
52,22969,1.23358,0.60789,0.96099,0.88276,0.74667,0.80343,0.49656,1.33174,0.61718,1.01499,0.0074755,0.0074755,0.0074755
53,23446.6,1.22838,0.60378,0.9604,0.86634,0.75659,0.81074,0.49821,1.33448,0.62031,1.01663,0.007426,0.007426,0.007426
54,23668.2,1.22776,0.60553,0.95505,0.8868,0.74522,0.80381,0.49767,1.33327,0.61121,1.01647,0.0073765,0.0073765,0.0073765
55,23885.3,1.22302,0.60149,0.95743,0.85954,0.75775,0.80708,0.49765,1.34347,0.61357,1.01917,0.007327,0.007327,0.007327
56,24133.8,1.21714,0.59834,0.95836,0.85001,0.76372,0.80972,0.49978,1.32982,0.61664,1.01389,0.0072775,0.0072775,0.0072775
57,24352.6,1.21338,0.59717,0.95389,0.88186,0.75402,0.81076,0.49847,1.34437,0.61657,1.01863,0.007228,0.007228,0.007228
58,24570.6,1.21673,0.59789,0.95625,0.8695,0.76302,0.81213,0.49901,1.3373,0.6114,1.01801,0.0071785,0.0071785,0.0071785
59,24792.5,1.21115,0.59349,0.95622,0.87207,0.7606,0.81453,0.49903,1.33592,0.6144,1.01632,0.007129,0.007129,0.007129
60,25010.4,1.19741,0.58481,0.95121,0.86698,0.77082,0.81846,0.49926,1.34085,0.61344,1.01684,0.0070795,0.0070795,0.0070795
61,25229.8,1.21074,0.59315,0.95432,0.87575,0.75598,0.8135,0.49898,1.33424,0.61243,1.01556,0.00703,0.00703,0.00703
62,25444.7,1.19722,0.58545,0.94993,0.85814,0.75815,0.81003,0.49801,1.33621,0.6082,1.01739,0.0069805,0.0069805,0.0069805
63,25660.4,1.20785,0.59066,0.95194,0.86394,0.75482,0.80997,0.49996,1.32585,0.60538,1.01409,0.006931,0.006931,0.006931
64,25877.6,1.19822,0.58698,0.95013,0.85485,0.75869,0.80676,0.49894,1.33634,0.60698,1.01883,0.0068815,0.0068815,0.0068815
65,26091.2,1.19747,0.58697,0.95075,0.86545,0.75361,0.80436,0.50005,1.33109,0.60568,1.01497,0.006832,0.006832,0.006832
