epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11112.2,1.24891,0.61736,0.93101,0.87044,0.74444,0.79252,0.49234,1.33587,0.62366,0.98315,0.0079705,0.0079705,0.0079705
43,11402.2,1.24736,0.61953,0.93512,0.86831,0.75303,0.80801,0.50027,1.33695,0.62552,0.98201,0.007921,0.007921,0.007921
44,11638.3,1.24118,0.61249,0.92968,0.88382,0.73926,0.80051,0.49666,1.33087,0.61888,0.97885,0.0078715,0.0078715,0.0078715
45,11891.2,1.23481,0.61186,0.9303,0.84896,0.75272,0.79863,0.49359,1.3372,0.62639,0.98085,0.007822,0.007822,0.007822
46,12125.5,1.24635,0.61502,0.93411,0.86125,0.74928,0.80119,0.49891,1.3354,0.6204,0.98435,0.0077725,0.0077725,0.0077725
47,12379.1,1.23336,0.61077,0.92873,0.87198,0.74126,0.81159,0.4992,1.33832,0.62337,0.98269,0.007723,0.007723,0.007723
48,12680.4,1.22442,0.60449,0.92624,0.83931,0.77127,0.81699,0.49682,1.34176,0.6201,0.98413,0.0076735,0.0076735,0.0076735
49,12913.9,1.22427,0.6064,0.92847,0.85466,0.76689,0.81235,0.4985,1.33801,0.61659,0.98545,0.007624,0.007624,0.007624
50,13238.6,1.2281,0.6057,0.92824,0.83868,0.7604,0.81206,0.49793,1.34165,0.62649,0.98087,0.0075745,0.0075745,0.0075745
51,13473.8,1.21965,0.60182,0.92739,0.84768,0.7548,0.80628,0.49876,1.33454,0.61346,0.9846,0.007525,0.007525,0.007525
52,13780.5,1.22269,0.60365,0.92765,0.84551,0.75619,0.80553,0.49993,1.33579,0.6157,0.98354,0.0074755,0.0074755,0.0074755
53,14024.4,1.21621,0.59821,0.92748,0.87109,0.74021,0.80185,0.50092,1.32852,0.60972,0.97981,0.007426,0.007426,0.007426
54,14353.4,1.21417,0.60056,0.9235,0.86365,0.75804,0.81069,0.50557,1.33443,0.61039,0.98491,0.0073765,0.0073765,0.0073765
55,14604,1.21213,0.59679,0.92487,0.8731,0.75518,0.81303,0.5068,1.3271,0.60367,0.9786,0.007327,0.007327,0.007327
56,15006.3,1.20685,0.59602,0.92465,0.86709,0.75976,0.81284,0.50596,1.32788,0.60954,0.98066,0.0072775,0.0072775,0.0072775
57,15270.4,1.20462,0.59415,0.92242,0.86613,0.76094,0.81145,0.50238,1.32919,0.61019,0.98152,0.007228,0.007228,0.007228
58,15511.1,1.20845,0.59491,0.92468,0.88027,0.74921,0.80793,0.50046,1.33489,0.6055,0.98475,0.0071785,0.0071785,0.0071785
59,15941.5,1.20083,0.58815,0.92296,0.872,0.7553,0.81151,0.50148,1.34075,0.60603,0.98709,0.007129,0.007129,0.007129
60,16237.1,1.19001,0.58195,0.91858,0.88999,0.74377,0.80854,0.50205,1.33798,0.61175,0.98199,0.0070795,0.0070795,0.0070795
61,16607.5,1.19973,0.59199,0.92117,0.88225,0.75029,0.81606,0.50625,1.33195,0.60599,0.97947,0.00703,0.00703,0.00703
62,17093,1.1888,0.5828,0.91862,0.8572,0.75876,0.81599,0.50471,1.33127,0.61066,0.97798,0.0069805,0.0069805,0.0069805
63,17808.5,1.19475,0.58627,0.92082,0.84503,0.75366,0.81716,0.50647,1.32437,0.60607,0.97438,0.006931,0.006931,0.006931
64,18244.4,1.18925,0.58443,0.91887,0.85881,0.75151,0.81869,0.50794,1.33305,0.6074,0.97921,0.0068815,0.0068815,0.0068815
